Port/Protocol Combination Counts: 

port,protocol,count
868,udp,11
486,udp,10
789,udp,6
6336,tcp,1
277,tcp,11
23458,icmp,1
175,udp,11
2719,icmp,1
8470,icmp,1
39371,tcp,1
551,icmp,7
377,tcp,5
56967,icmp,1
567,icmp,6
990,udp,9
61334,udp,1
5262,icmp,1
664,tcp,6
305,tcp,19
48377,udp,1
47965,udp,1
27705,icmp,1
203,tcp,7
588,icmp,9
759,icmp,7
529,tcp,6
52999,icmp,1
54260,tcp,1
10504,udp,1
26617,udp,1
974,udp,11
434,tcp,14
860,udp,9
780,tcp,8
17478,udp,1
44213,icmp,2
636,udp,10
802,icmp,10
31121,udp,1
21517,udp,1
36,udp,11
6510,tcp,1
845,tcp,14
16455,udp,1
8448,tcp,1
23118,icmp,1
264,udp,8
29817,udp,1
10116,icmp,1
909,udp,11
462,icmp,13
21316,icmp,1
240,icmp,10
829,icmp,12
118,icmp,9
45998,tcp,1
68,udp,8
52384,tcp,1
42050,tcp,1
274,udp,6
917,tcp,12
156,tcp,11
58384,udp,1
14094,icmp,1
72,icmp,12
114,icmp,8
3514,tcp,1
327,tcp,6
24884,tcp,1
54002,udp,1
6805,icmp,1
27480,udp,1
21024,tcp,1
40940,icmp,1
22,icmp,9
283,tcp,8
792,udp,8
24301,icmp,1
448,tcp,8
687,tcp,7
53894,udp,1
7683,tcp,1
655,icmp,7
63774,tcp,1
880,udp,10
6271,tcp,1
57806,udp,1
787,icmp,14
34330,tcp,1
199,udp,13
671,icmp,11
409,udp,10
864,icmp,10
349,tcp,9
48539,icmp,1
902,udp,12
380,tcp,12
33700,tcp,1
19222,icmp,1
107,udp,10
31036,udp,1
53152,udp,1
8979,tcp,1
52703,icmp,1
52996,tcp,1
35478,tcp,2
47731,icmp,2
280,udp,7
205,tcp,6
2534,udp,1
395,icmp,7
19940,icmp,1
35329,tcp,1
48513,tcp,1
51502,icmp,1
47688,udp,1
176,tcp,8
394,tcp,8
246,udp,13
344,tcp,7
49575,udp,1
757,tcp,14
996,udp,4
83,udp,6
743,udp,11
16,tcp,11
15438,udp,1
253,icmp,9
31082,tcp,1
58416,icmp,1
3593,tcp,1
54395,udp,1
271,icmp,8
3611,icmp,2
132,tcp,11
489,icmp,7
390,udp,9
27358,icmp,2
33258,udp,1
321,tcp,10
9427,tcp,1
10918,udp,1
89,tcp,3
101,tcp,10
513,udp,10
4306,udp,2
738,icmp,7
32737,tcp,1
206,tcp,9
953,udp,7
216,icmp,9
37989,icmp,1
58,icmp,12
833,udp,9
57439,icmp,1
272,tcp,7
29262,tcp,1
29122,udp,1
435,udp,9
424,udp,6
8139,udp,1
41043,udp,1
249,udp,9
777,udp,7
332,tcp,7
823,tcp,9
53376,udp,1
153,udp,4
35964,tcp,1
405,tcp,7
44616,tcp,1
55071,udp,1
251,tcp,8
20880,icmp,1
62390,tcp,1
62065,udp,1
33959,tcp,1
158,udp,12
298,udp,9
1007,udp,4
42794,udp,1
70,tcp,10
108,udp,6
27198,icmp,1
123,tcp,7
446,icmp,6
91,icmp,10
732,icmp,6
18508,tcp,1
943,tcp,15
19435,udp,1
142,tcp,5
52216,icmp,1
59620,tcp,2
570,udp,8
535,udp,9
809,icmp,7
229,icmp,5
992,tcp,7
764,icmp,7
18756,udp,1
35435,tcp,1
63169,icmp,1
712,tcp,10
31787,tcp,1
46429,icmp,1
809,udp,6
1006,icmp,6
861,udp,11
367,icmp,12
29650,udp,1
32985,udp,1
41002,tcp,2
412,tcp,12
966,tcp,14
659,icmp,8
408,udp,9
596,udp,14
601,icmp,10
159,udp,11
407,udp,10
95,tcp,6
14132,tcp,1
989,udp,8
993,tcp,11
86,udp,8
0,udp,7
15380,icmp,1
27453,icmp,1
943,icmp,10
61281,udp,1
433,icmp,3
33631,udp,1
473,tcp,9
596,tcp,5
834,udp,13
344,icmp,9
34,udp,3
60836,tcp,1
4,tcp,9
1000,udp,8
292,icmp,8
506,icmp,9
14029,icmp,1
713,udp,8
6829,tcp,1
53435,tcp,1
717,icmp,6
55689,icmp,1
543,icmp,12
49895,icmp,1
5,udp,7
51072,tcp,1
28548,tcp,2
43059,icmp,1
47340,icmp,1
17727,icmp,1
672,tcp,12
379,udp,6
488,udp,7
447,tcp,13
45662,tcp,1
43061,udp,1
6094,tcp,1
13333,icmp,1
59709,icmp,1
13944,icmp,1
42331,udp,1
212,udp,7
16096,udp,1
5901,tcp,1
2,tcp,9
46184,udp,1
216,udp,4
540,icmp,9
422,udp,9
59403,icmp,1
63494,udp,1
133,icmp,7
324,udp,11
25497,icmp,1
31897,tcp,1
707,tcp,10
589,tcp,6
617,tcp,6
38568,tcp,1
637,icmp,12
45592,udp,1
60948,tcp,1
40113,udp,2
161,icmp,7
30906,icmp,1
8022,icmp,2
13688,tcp,1
1005,icmp,15
61208,tcp,1
152,udp,9
64781,tcp,1
695,icmp,10
12138,icmp,1
28859,udp,1
810,icmp,12
63091,udp,1
852,tcp,11
796,tcp,9
603,udp,6
970,icmp,4
941,tcp,6
2838,udp,1
6385,icmp,1
896,icmp,8
291,udp,8
263,tcp,8
4475,icmp,1
38616,tcp,1
18181,tcp,1
22999,tcp,1
701,udp,6
61,icmp,8
23572,icmp,1
47261,udp,1
10452,tcp,1
26913,icmp,1
533,udp,9
15996,tcp,1
59784,icmp,1
55653,icmp,1
63407,tcp,1
3557,udp,1
410,icmp,10
553,udp,5
900,icmp,6
817,tcp,10
310,icmp,12
38861,udp,1
692,udp,10
22123,icmp,1
4658,udp,2
12633,udp,2
55685,icmp,1
45870,tcp,2
40333,tcp,1
13453,udp,1
40,tcp,6
65115,tcp,1
16471,udp,1
637,tcp,6
43194,udp,1
17779,icmp,1
7133,tcp,1
18396,tcp,1
560,icmp,12
35772,udp,1
28128,tcp,2
580,tcp,7
22849,tcp,1
10519,icmp,1
64697,tcp,1
753,tcp,11
973,icmp,14
13842,icmp,1
58913,udp,1
56846,tcp,1
508,udp,10
589,udp,5
1199,udp,1
374,udp,4
61358,udp,2
63881,udp,2
1005,tcp,6
4646,tcp,2
331,udp,14
95,icmp,11
24675,icmp,1
29993,tcp,1
252,udp,9
526,tcp,6
58650,udp,1
584,udp,8
20107,icmp,1
8928,tcp,1
9091,tcp,1
26630,udp,1
52151,tcp,1
225,tcp,12
47521,udp,1
960,icmp,4
22363,tcp,1
21298,udp,1
481,tcp,10
12400,tcp,1
518,tcp,10
12734,tcp,1
59657,tcp,1
126,tcp,6
832,udp,10
6944,icmp,1
675,icmp,10
1223,udp,1
56677,icmp,1
728,icmp,8
708,tcp,12
41784,udp,1
14473,icmp,1
586,icmp,10
432,udp,13
653,icmp,7
65318,tcp,1
60957,icmp,1
12468,icmp,1
10287,icmp,1
872,udp,8
61780,udp,1
37561,icmp,1
355,icmp,15
36915,udp,2
56573,tcp,1
140,udp,10
398,icmp,14
36161,tcp,1
55649,icmp,1
51013,udp,1
51320,icmp,1
423,tcp,10
892,tcp,11
443,tcp,11
678,tcp,9
741,udp,6
640,icmp,7
977,icmp,10
21179,udp,1
19264,udp,1
826,icmp,11
28530,udp,1
43724,icmp,1
61443,udp,1
20961,tcp,1
57895,udp,1
41072,icmp,1
7858,icmp,1
36401,udp,1
818,udp,6
196,udp,4
904,tcp,11
38,tcp,11
388,udp,11
217,icmp,12
897,icmp,16
602,icmp,9
43839,tcp,1
36765,udp,1
5079,icmp,1
10425,udp,3
725,icmp,11
28643,udp,1
39910,udp,1
5382,tcp,1
299,tcp,15
20611,icmp,1
474,udp,11
383,udp,9
22640,tcp,1
27002,tcp,1
24340,udp,1
500,udp,8
670,tcp,6
7438,tcp,1
487,icmp,7
628,tcp,4
545,icmp,11
9241,udp,1
27174,tcp,1
29949,icmp,1
575,tcp,9
242,udp,7
55217,tcp,1
54701,icmp,2
36706,udp,1
562,tcp,4
138,tcp,10
42684,tcp,1
326,tcp,10
62168,icmp,1
51006,tcp,1
100,tcp,11
39978,tcp,1
23313,tcp,1
54972,tcp,1
978,tcp,12
12262,udp,1
361,tcp,6
39,tcp,10
836,tcp,10
44773,icmp,1
27109,tcp,1
188,udp,9
53205,udp,2
858,tcp,8
1003,icmp,9
13903,icmp,1
414,tcp,16
618,tcp,8
583,tcp,6
20923,udp,1
947,tcp,13
267,tcp,8
16502,tcp,1
1008,udp,12
31768,udp,1
796,icmp,9
46464,udp,1
39415,udp,1
322,icmp,8
511,icmp,12
45361,icmp,1
8307,udp,1
60160,udp,1
38773,icmp,1
964,udp,3
60390,icmp,1
404,tcp,9
841,udp,11
59,icmp,9
135,udp,10
65174,icmp,1
634,tcp,11
122,tcp,9
342,tcp,5
13420,udp,1
30639,tcp,1
34128,icmp,1
476,icmp,10
46558,icmp,1
466,icmp,8
50133,icmp,1
507,icmp,5
62858,icmp,1
117,icmp,6
546,icmp,6
852,udp,9
1004,icmp,5
26455,tcp,1
614,icmp,8
495,udp,7
153,tcp,8
43288,tcp,1
45646,icmp,1
55161,icmp,1
80,udp,10
557,icmp,7
601,tcp,7
59275,icmp,1
59135,tcp,1
52649,icmp,2
210,tcp,11
44,tcp,11
25434,udp,1
564,icmp,5
17696,tcp,1
6960,tcp,1
15600,icmp,1
21255,icmp,1
52083,tcp,1
5578,tcp,1
524,icmp,7
16932,udp,1
92,tcp,6
14451,tcp,1
4631,tcp,1
321,icmp,10
20315,tcp,1
38942,icmp,1
17668,udp,2
742,udp,10
4490,tcp,1
314,udp,14
630,udp,12
1006,tcp,6
124,tcp,13
591,tcp,7
6991,udp,1
27433,tcp,2
16676,udp,1
63289,icmp,1
645,icmp,7
151,tcp,9
749,icmp,11
709,udp,5
3272,icmp,3
392,tcp,9
42093,icmp,1
847,udp,12
22534,tcp,1
996,tcp,10
562,icmp,12
62162,icmp,1
221,icmp,6
5780,tcp,1
236,udp,8
688,udp,13
55432,udp,1
51233,icmp,1
63284,tcp,1
856,tcp,5
25374,tcp,1
39036,icmp,1
51838,udp,1
3515,icmp,1
492,udp,10
18297,icmp,1
63070,tcp,2
5211,udp,1
778,icmp,15
192,udp,12
703,icmp,9
7532,icmp,2
68,tcp,10
5345,icmp,1
856,icmp,12
103,udp,15
52804,icmp,2
2235,icmp,1
3240,tcp,1
891,tcp,12
53208,udp,1
5763,udp,1
34259,icmp,1
39378,tcp,1
279,udp,5
26,tcp,6
39,udp,11
59241,tcp,1
25189,tcp,1
9135,icmp,1
836,icmp,5
38535,tcp,2
523,udp,15
24488,tcp,2
120,icmp,11
577,icmp,8
61005,icmp,1
40188,udp,1
510,icmp,11
19278,udp,1
47170,udp,1
7323,tcp,1
350,icmp,4
48144,udp,1
6246,udp,2
490,tcp,10
55446,udp,1
14562,udp,1
51356,icmp,1
722,udp,9
16782,udp,1
9430,icmp,1
228,icmp,6
543,tcp,6
784,icmp,10
131,tcp,4
488,icmp,12
1024,udp,6
409,icmp,12
53899,tcp,1
518,icmp,12
40160,tcp,1
995,tcp,11
587,icmp,7
48003,udp,2
55167,icmp,2
944,icmp,14
41094,tcp,1
26584,udp,1
35034,udp,1
779,icmp,7
13552,tcp,1
924,icmp,11
944,udp,10
52888,tcp,2
36970,icmp,1
59958,tcp,1
755,udp,8
63206,icmp,1
29858,udp,1
34302,icmp,1
25056,tcp,1
34042,udp,1
315,icmp,8
27384,tcp,1
1414,tcp,1
4901,icmp,1
52035,udp,1
1394,icmp,1
968,tcp,18
929,tcp,6
44192,icmp,1
38453,udp,1
606,tcp,4
23336,icmp,1
546,udp,9
11390,udp,1
106,tcp,11
457,icmp,15
8963,udp,1
456,icmp,6
190,tcp,7
540,tcp,13
170,udp,7
21449,icmp,1
25,tcp,7
820,tcp,11
14992,udp,2
33178,tcp,1
33664,icmp,1
6702,icmp,1
45774,icmp,1
54429,icmp,1
662,icmp,5
22139,icmp,1
326,udp,7
37321,tcp,1
0,icmp,7
33358,tcp,1
194,tcp,6
276,udp,4
390,tcp,13
177,tcp,4
29630,udp,1
317,tcp,10
55917,tcp,1
354,tcp,8
37746,udp,1
3,tcp,16
52194,icmp,1
44469,udp,1
52853,udp,1
60676,tcp,1
30358,udp,1
7268,udp,2
857,udp,11
549,udp,8
80,tcp,9
8523,tcp,1
31341,udp,2
47833,tcp,1
353,icmp,8
16098,icmp,2
52888,icmp,1
536,icmp,8
33173,udp,1
40490,icmp,1
53138,icmp,1
62909,udp,1
45240,icmp,1
283,icmp,8
46341,icmp,1
74,icmp,12
144,tcp,13
261,udp,8
515,icmp,10
19558,icmp,1
26923,udp,1
39686,tcp,1
17930,tcp,1
37434,udp,1
624,udp,12
43473,icmp,1
34997,udp,1
61070,udp,1
967,tcp,9
24518,icmp,1
311,tcp,9
121,udp,10
983,tcp,9
738,tcp,11
620,icmp,10
433,tcp,9
10377,icmp,1
21147,udp,2
651,tcp,4
823,udp,7
22343,udp,1
10411,icmp,1
23788,udp,1
36056,tcp,1
999,udp,13
316,icmp,6
24889,udp,1
36677,icmp,1
11157,udp,1
813,icmp,6
49021,icmp,1
928,tcp,9
9990,udp,1
273,tcp,11
693,icmp,7
40417,icmp,1
48704,icmp,1
36320,tcp,2
65495,icmp,1
55087,icmp,1
360,udp,11
15306,icmp,1
43284,udp,1
699,tcp,10
65266,icmp,2
26788,tcp,1
657,tcp,6
938,icmp,10
51204,udp,1
21769,udp,1
281,icmp,7
59160,tcp,1
56633,icmp,1
15588,icmp,1
15908,udp,1
20,icmp,8
19269,udp,2
410,tcp,7
897,tcp,12
50182,udp,1
18728,udp,1
800,udp,11
20013,tcp,1
388,tcp,10
51391,icmp,1
53239,icmp,1
615,icmp,8
31066,udp,1
36564,tcp,1
597,icmp,10
44675,icmp,1
45216,icmp,1
110,icmp,9
310,udp,9
791,udp,7
60127,tcp,1
159,icmp,9
17034,tcp,1
155,icmp,8
32260,udp,1
8594,icmp,1
41253,tcp,1
1014,icmp,10
980,udp,6
668,icmp,9
279,icmp,6
19571,udp,1
1000,icmp,6
910,icmp,10
38364,udp,1
48789,udp,1
62795,tcp,1
37570,icmp,1
167,tcp,4
16123,tcp,1
53902,icmp,1
30644,udp,1
50272,tcp,1
6015,udp,1
5161,icmp,1
412,udp,7
34291,udp,1
180,icmp,14
7380,tcp,1
13284,icmp,1
54072,tcp,2
875,udp,11
178,tcp,10
940,icmp,11
235,tcp,11
598,tcp,7
58285,icmp,2
51573,udp,1
325,tcp,8
356,icmp,9
49,icmp,12
808,tcp,5
32394,udp,1
107,icmp,13
65,tcp,5
36195,tcp,1
713,icmp,11
25145,udp,1
841,tcp,10
55425,udp,1
74,tcp,5
32060,tcp,1
63274,udp,1
260,tcp,7
167,icmp,10
37765,udp,1
35005,tcp,1
18287,tcp,1
386,icmp,13
50749,udp,1
343,tcp,9
24056,tcp,1
268,icmp,13
58541,udp,1
41962,icmp,1
383,icmp,8
30905,udp,1
59606,tcp,1
77,icmp,6
693,tcp,4
425,icmp,6
14871,udp,1
957,icmp,11
785,tcp,6
190,udp,7
55535,tcp,1
19690,udp,1
63822,icmp,1
873,udp,6
60326,udp,2
55640,icmp,1
313,tcp,9
33530,udp,1
714,icmp,15
375,tcp,13
58561,udp,1
98,udp,7
2089,udp,1
663,icmp,11
29371,udp,1
667,udp,5
879,icmp,7
920,udp,14
46328,udp,1
466,tcp,6
909,icmp,7
371,tcp,7
46941,tcp,1
9927,icmp,1
9,udp,9
54709,icmp,2
123,icmp,9
24742,udp,1
60291,udp,1
593,udp,7
19199,tcp,1
865,icmp,10
13457,tcp,1
33263,tcp,2
277,icmp,9
767,udp,6
17750,icmp,1
37052,udp,1
100,udp,7
41316,icmp,1
27392,icmp,1
57467,udp,2
43569,tcp,1
7249,tcp,1
556,udp,5
12419,udp,1
312,icmp,5
299,icmp,10
592,tcp,9
361,udp,9
723,udp,12
901,udp,12
24183,icmp,1
165,icmp,6
976,udp,12
332,icmp,9
11965,udp,1
284,icmp,3
15937,udp,1
129,tcp,9
66,udp,10
532,icmp,11
44482,icmp,1
278,udp,9
65248,tcp,1
612,tcp,7
429,udp,15
418,udp,5
12566,tcp,1
531,udp,10
42119,tcp,1
802,udp,9
45407,udp,1
31642,udp,2
434,icmp,6
156,udp,11
56877,udp,1
54156,udp,1
158,tcp,9
448,udp,8
473,icmp,6
512,tcp,10
170,tcp,10
61295,udp,1
255,tcp,7
309,tcp,10
21379,tcp,1
736,tcp,9
682,tcp,12
50607,icmp,1
14950,icmp,1
56980,tcp,1
21836,tcp,1
985,icmp,14
563,udp,6
772,udp,10
500,tcp,14
921,tcp,8
27022,udp,1
37090,icmp,1
34360,icmp,1
32848,icmp,1
486,icmp,7
328,tcp,7
59,udp,11
52241,tcp,1
19214,udp,1
47045,tcp,1
347,tcp,13
6887,udp,2
46418,udp,1
20438,udp,1
18197,udp,1
55390,udp,2
25751,udp,1
16068,tcp,1
218,udp,10
843,icmp,10
64103,tcp,1
57333,udp,2
60842,udp,1
134,tcp,8
54669,tcp,1
42,icmp,9
42312,tcp,1
381,icmp,13
27549,udp,1
457,tcp,17
11673,tcp,1
23386,icmp,1
49939,udp,1
23140,icmp,1
38391,tcp,1
28417,icmp,1
40605,udp,1
5172,tcp,2
134,icmp,10
49935,udp,1
101,icmp,8
599,icmp,9
45797,tcp,1
498,udp,7
848,udp,11
213,tcp,4
27393,tcp,1
54463,udp,1
414,icmp,9
58792,icmp,1
44420,icmp,1
57080,tcp,1
4636,udp,2
16480,udp,1
942,tcp,4
85,icmp,7
45352,icmp,1
42960,udp,1
6143,udp,1
31273,tcp,1
881,udp,7
294,icmp,6
648,tcp,9
26931,icmp,1
35226,tcp,1
1737,udp,1
910,tcp,13
1552,udp,1
44232,udp,1
41990,icmp,1
61675,tcp,1
39967,tcp,1
50099,icmp,1
31047,udp,1
9886,icmp,1
912,tcp,14
47715,udp,1
41759,udp,1
8358,udp,2
6650,tcp,1
35929,tcp,1
32710,tcp,1
637,udp,9
20697,tcp,1
146,icmp,5
28283,icmp,1
30800,tcp,1
58539,udp,2
50713,udp,2
60028,tcp,1
658,tcp,5
630,icmp,4
3982,tcp,1
52,tcp,12
679,icmp,7
925,icmp,14
56998,udp,1
36423,udp,1
28461,udp,1
16137,tcp,1
239,tcp,7
60815,tcp,1
24420,icmp,2
485,icmp,5
14442,icmp,1
144,udp,9
32393,tcp,1
24291,icmp,1
819,tcp,12
17768,icmp,1
46319,udp,1
62599,udp,1
21447,icmp,1
560,udp,10
445,tcp,11
46343,udp,2
19015,icmp,1
888,icmp,8
41564,icmp,1
665,tcp,9
31935,tcp,1
12077,icmp,2
405,udp,11
27195,icmp,1
32388,tcp,1
927,tcp,6
391,udp,13
35123,tcp,2
21626,udp,1
705,icmp,7
258,icmp,10
471,icmp,9
962,udp,12
696,tcp,3
56031,tcp,1
3114,tcp,1
664,icmp,6
16165,tcp,2
25400,udp,2
62279,udp,1
94,udp,11
994,udp,11
38492,tcp,1
590,icmp,5
252,icmp,11
451,tcp,7
54083,tcp,1
258,udp,6
15042,tcp,1
714,tcp,12
23134,icmp,1
202,udp,8
185,tcp,9
1054,tcp,1
586,tcp,9
33132,icmp,1
336,icmp,9
434,udp,9
13550,udp,1
21877,icmp,1
2489,icmp,1
710,tcp,5
104,tcp,6
47234,icmp,1
64203,icmp,1
419,udp,7
594,icmp,12
1009,tcp,15
569,udp,8
402,udp,9
984,tcp,12
467,icmp,7
43598,udp,2
591,udp,9
206,udp,11
45968,tcp,1
59789,tcp,2
29559,icmp,1
972,icmp,6
1588,icmp,1
33437,icmp,1
705,tcp,15
34729,udp,1
39860,icmp,1
1240,tcp,2
617,udp,10
782,tcp,5
78,icmp,5
59538,tcp,2
274,tcp,13
343,udp,9
275,udp,6
21637,icmp,1
12736,udp,2
162,icmp,7
23326,icmp,1
13892,tcp,1
41108,tcp,1
39562,tcp,1
27904,udp,1
14056,udp,1
385,icmp,12
33082,tcp,1
6360,udp,1
10374,icmp,1
19863,icmp,1
265,icmp,9
36993,icmp,1
4572,udp,1
26728,tcp,1
31514,icmp,1
122,icmp,8
10,udp,4
113,tcp,10
16401,icmp,1
53975,udp,1
43945,icmp,2
574,tcp,9
61003,icmp,1
379,icmp,7
821,udp,11
65078,tcp,1
889,icmp,10
656,tcp,11
63172,icmp,1
44621,icmp,1
958,udp,6
141,tcp,9
39847,icmp,1
682,icmp,5
835,udp,9
409,tcp,8
889,tcp,10
63052,tcp,1
581,icmp,8
25546,icmp,1
690,udp,14
20540,tcp,2
16720,udp,1
48551,udp,2
29638,icmp,1
43188,icmp,1
32097,tcp,1
863,icmp,8
237,icmp,11
147,tcp,11
94,tcp,9
618,icmp,16
1003,udp,8
528,tcp,7
517,tcp,9
917,icmp,8
25911,udp,1
9690,icmp,1
862,icmp,12
60347,udp,1
5314,tcp,1
20678,icmp,1
650,udp,10
850,icmp,8
384,icmp,7
359,icmp,13
476,udp,11
554,tcp,11
663,udp,9
582,udp,10
930,icmp,6
61587,tcp,1
27117,tcp,1
17127,icmp,1
106,icmp,14
20786,icmp,1
501,tcp,12
574,udp,12
745,icmp,10
20927,tcp,1
63432,udp,1
38921,tcp,1
404,icmp,6
36172,tcp,1
204,udp,9
1016,icmp,11
22771,udp,1
587,udp,7
173,tcp,9
565,udp,7
668,udp,11
506,udp,6
551,udp,8
684,icmp,3
6978,icmp,1
503,tcp,9
960,tcp,10
53994,tcp,2
762,tcp,9
136,udp,7
53010,tcp,1
848,icmp,8
54707,icmp,1
23373,udp,1
10849,icmp,2
66,icmp,11
38893,icmp,2
38621,icmp,1
25603,icmp,1
4939,tcp,1
39002,tcp,1
509,udp,11
731,udp,10
961,udp,11
254,udp,6
611,icmp,6
45818,udp,1
40,udp,3
63275,tcp,1
53318,icmp,1
46850,udp,1
7745,tcp,1
210,udp,9
30019,icmp,1
28921,udp,2
54428,udp,1
13101,icmp,1
45003,tcp,1
1007,icmp,11
43339,tcp,1
3088,tcp,1
10556,icmp,1
11438,icmp,1
58473,icmp,1
8030,icmp,1
981,tcp,7
256,udp,10
784,udp,8
494,icmp,10
10220,icmp,1
37595,udp,1
426,tcp,6
60020,icmp,1
718,udp,5
286,tcp,9
20800,icmp,1
23644,icmp,1
40874,tcp,1
245,tcp,11
721,udp,4
22585,udp,1
56328,tcp,1
14200,tcp,1
51364,icmp,1
358,tcp,9
389,udp,6
12037,icmp,1
882,tcp,5
783,tcp,9
514,tcp,8
52148,icmp,1
18323,tcp,1
584,tcp,7
52644,icmp,1
36057,udp,1
115,icmp,8
662,tcp,3
32523,udp,1
969,udp,9
63387,tcp,1
36785,tcp,2
265,udp,6
480,icmp,10
60272,tcp,1
25,udp,11
585,icmp,13
37382,icmp,1
21784,udp,1
455,udp,14
26462,tcp,1
810,udp,14
3474,tcp,1
341,tcp,10
40814,icmp,1
18143,icmp,1
416,icmp,5
53,icmp,9
9304,udp,1
30692,udp,1
24939,icmp,2
1008,icmp,15
31391,udp,1
862,tcp,13
18622,tcp,1
30537,tcp,1
48854,udp,1
79,tcp,11
17899,udp,1
27229,udp,1
769,tcp,10
689,tcp,9
531,icmp,13
281,udp,10
56482,icmp,1
41559,icmp,1
520,icmp,13
39209,tcp,1
34141,udp,2
17647,icmp,2
202,icmp,8
20648,icmp,1
53217,icmp,1
31359,icmp,1
8209,udp,1
294,udp,8
31920,tcp,1
368,udp,9
453,udp,6
49399,tcp,1
32530,udp,1
853,tcp,5
769,udp,9
56371,udp,1
682,udp,7
143,icmp,8
660,tcp,10
36218,tcp,1
275,tcp,11
320,tcp,6
52504,tcp,1
29841,icmp,1
491,udp,13
169,tcp,11
120,tcp,10
31529,tcp,1
58398,icmp,1
37995,icmp,1
28159,tcp,1
98,tcp,7
24792,udp,1
988,udp,7
24113,icmp,2
39818,tcp,1
837,tcp,8
64821,udp,1
57197,tcp,2
794,icmp,12
50653,icmp,1
522,icmp,7
19007,udp,1
1836,udp,1
40964,udp,1
51072,icmp,1
203,udp,9
467,udp,13
461,icmp,7
415,udp,9
44,udp,10
851,icmp,7
51098,icmp,1
5384,udp,1
797,tcp,4
11883,icmp,1
17526,udp,1
14636,tcp,1
22276,tcp,1
2272,udp,1
225,udp,6
951,udp,8
22607,tcp,1
538,udp,8
7022,tcp,1
5154,tcp,1
794,tcp,8
809,tcp,10
1019,icmp,11
8170,udp,1
18049,udp,1
571,tcp,11
290,icmp,4
8297,udp,1
147,udp,12
42411,udp,1
15509,udp,1
616,icmp,7
102,udp,7
46892,tcp,1
24513,icmp,1
54092,udp,1
45268,icmp,1
26668,udp,1
29238,udp,1
6049,udp,1
45130,icmp,1
16660,icmp,1
57127,tcp,1
339,icmp,10
194,udp,6
34,icmp,7
965,icmp,6
35,udp,9
58506,tcp,1
50701,udp,1
6694,icmp,1
39054,udp,1
806,udp,8
15107,udp,1
39912,udp,1
59890,tcp,1
64887,udp,1
61999,udp,1
942,udp,12
43845,tcp,1
207,udp,8
56830,tcp,1
381,tcp,10
7,icmp,15
707,udp,15
655,tcp,8
85,udp,10
36546,icmp,1
54746,udp,2
770,tcp,8
463,tcp,8
41936,tcp,1
946,icmp,11
481,icmp,8
37234,udp,1
372,tcp,9
872,tcp,9
883,icmp,11
723,icmp,4
62016,icmp,1
239,udp,4
678,icmp,7
19958,udp,1
222,icmp,10
37977,udp,1
62982,icmp,1
31,icmp,13
32371,icmp,1
22382,icmp,1
56682,udp,1
43679,icmp,1
855,icmp,7
994,icmp,7
32574,tcp,2
160,icmp,6
14009,icmp,1
17916,udp,1
18639,icmp,1
694,tcp,9
