dstport,protocol,tag
0,icmp,sv_P5
12760,17,sv_P10
993,tcp,email
30263,1,sv_P8
45281,17,sv_P8
68,udp,sv_P2
54000,1,sv_P8
3389,tcp,sv_P5
15455,1,sv_P10
3389,tcp,sv_P5
26,tcp,sv_P6
26,tcp,sv_P6
2862,1,sv_P9
0,icmp,sv_P5
62915,17,sv_P10
22,tcp,sv_P4
9659,17,sv_P8
143,tcp,email
143,tcp,email
31822,6,sv_P8
44216,1,sv_P10
27262,1,sv_P8
0,icmp,sv_P5
0,icmp,sv_P5
0,icmp,sv_P5
993,tcp,email
31194,17,sv_P10
23,tcp,sv_P1
21348,1,sv_P9
37431,17,sv_P8
10266,1,sv_P10
38170,1,sv_P10
36668,1,sv_P9
4382,17,sv_P10
61245,1,sv_P10
62085,6,sv_P8
143,tcp,email
68,udp,sv_P2
28,tcp,sv_P7
32621,1,sv_P10
68,udp,sv_P2
143,tcp,email
31,udp,SV_P3
49626,17,sv_P10
51828,1,sv_P9
26,tcp,sv_P6
55892,6,sv_P10
58177,6,sv_P10
21070,1,sv_P10
68,udp,sv_P2
31,udp,SV_P3
37917,6,sv_P8
9342,17,sv_P8
110,tcp,email
15964,6,sv_P9
0,icmp,sv_P5
15000,6,sv_P9
10415,1,sv_P10
17369,17,sv_P9
23,tcp,sv_P1
33541,1,sv_P10
57045,1,sv_P8
32472,1,sv_P9
23,tcp,sv_P1
143,tcp,email
3389,tcp,sv_P5
143,tcp,email
392,6,sv_P10
68,udp,sv_P2
54397,6,sv_P9
3389,tcp,sv_P5
6802,17,sv_P10
0,icmp,sv_P5
26,tcp,sv_P6
68,udp,sv_P2
143,tcp,email
23,tcp,sv_P1
28,tcp,sv_P7
143,tcp,email
110,tcp,email
41801,17,sv_P10
4828,17,sv_P8
0,icmp,sv_P5
443,tcp,sv_P2
60290,17,sv_P10
13710,6,sv_P10
25,tcp,sv_P1
62093,6,sv_P8
68,udp,sv_P2
110,tcp,email
3389,tcp,sv_P5
37007,6,sv_P10
110,tcp,email
37066,17,sv_P10
993,tcp,email
23839,6,sv_P9
3389,tcp,sv_P5
22,tcp,sv_P4
38114,17,sv_P9
13745,6,sv_P10
53075,17,sv_P8
28,tcp,sv_P7
31941,6,sv_P8
23,tcp,sv_P1
59800,17,sv_P10
25188,6,sv_P8
31,udp,SV_P3
23,tcp,sv_P1
28,tcp,sv_P7
26,tcp,sv_P6
993,tcp,email
57446,6,sv_P10
68,udp,sv_P2
33582,17,sv_P8
22,tcp,sv_P4
31,udp,SV_P3
26,tcp,sv_P6
42979,1,sv_P8
2278,1,sv_P8
993,tcp,email
26,tcp,sv_P6
23,tcp,sv_P1
22,tcp,sv_P4
23459,1,sv_P10
6171,6,sv_P10
26,tcp,sv_P6
0,icmp,sv_P5
20723,6,sv_P9
25,tcp,sv_P1
993,tcp,email
50468,17,sv_P8
993,tcp,email
8652,1,sv_P8
23,tcp,sv_P1
18912,17,sv_P10
24049,6,sv_P9
68,udp,sv_P2
44674,17,sv_P10
25948,1,sv_P10
68,udp,sv_P2
443,tcp,sv_P2
25,tcp,sv_P1
12378,1,sv_P8
22,tcp,sv_P4
143,tcp,email
44624,1,sv_P10
68,udp,sv_P2
993,tcp,email
0,icmp,sv_P5
23,tcp,sv_P1
54705,6,sv_P10
8019,1,sv_P8
37426,17,sv_P9
143,tcp,email
32316,6,sv_P9
16588,17,sv_P10
30722,17,sv_P9
993,tcp,email
16472,17,sv_P10
62271,6,sv_P9
52211,1,sv_P10
23,tcp,sv_P1
110,tcp,email
28957,1,sv_P9
5756,17,sv_P8
37142,17,sv_P10
31,udp,SV_P3
57923,17,sv_P9
3389,tcp,sv_P5
34049,17,sv_P8
51045,17,sv_P8
31,udp,SV_P3
42029,1,sv_P9
60267,6,sv_P8
28,tcp,sv_P7
31,udp,SV_P3
31,udp,SV_P3
28,tcp,sv_P7
143,tcp,email
68,udp,sv_P2
993,tcp,email
45921,1,sv_P10
28952,6,sv_P8
23,tcp,sv_P1
56853,17,sv_P9
443,tcp,sv_P2
3389,tcp,sv_P5
68,udp,sv_P2
28,tcp,sv_P7
5124,6,sv_P10
993,tcp,email
23,tcp,sv_P1
48485,17,sv_P9
37174,1,sv_P8
443,tcp,sv_P2
4507,6,sv_P8
11618,6,sv_P9
42422,17,sv_P9
5121,17,sv_P8
4378,17,sv_P9
68,udp,sv_P2
23200,1,sv_P10
23,tcp,sv_P1
110,tcp,email
44828,17,sv_P9
53364,17,sv_P9
28,tcp,sv_P7
26,tcp,sv_P6
25,tcp,sv_P1
443,tcp,sv_P2
993,tcp,email
23,tcp,sv_P1
0,icmp,sv_P5
25,tcp,sv_P1
15800,1,sv_P10
17959,1,sv_P9
60453,6,sv_P9
0,icmp,sv_P5
25,tcp,sv_P1
2182,6,sv_P9
64868,6,sv_P8
61262,1,sv_P9
24127,1,sv_P10
25,tcp,sv_P1
25,tcp,sv_P1
25988,6,sv_P10
3389,tcp,sv_P5
29663,1,sv_P10
68,udp,sv_P2
110,tcp,email
46914,6,sv_P10
50715,1,sv_P9
31,udp,SV_P3
443,tcp,sv_P2
19924,6,sv_P8
26,tcp,sv_P6
64836,6,sv_P8
39082,17,sv_P9
49262,17,sv_P10
993,tcp,email
45577,17,sv_P10
443,tcp,sv_P2
22,tcp,sv_P4
0,icmp,sv_P5
6031,17,sv_P9
34863,17,sv_P9
28,tcp,sv_P7
26,tcp,sv_P6
32173,17,sv_P10
39478,17,sv_P10
3762,6,sv_P9
30803,1,sv_P10
12341,6,sv_P9
8516,17,sv_P9
56871,6,sv_P9
3389,tcp,sv_P5
54362,17,sv_P10
54330,1,sv_P8
993,tcp,email
0,icmp,sv_P5
34991,1,sv_P8
68,udp,sv_P2
143,tcp,email
993,tcp,email
12037,17,sv_P8
46469,17,sv_P10
993,tcp,email
993,tcp,email
48794,1,sv_P8
20844,17,sv_P10
35195,1,sv_P8
993,tcp,email
11693,1,sv_P10
110,tcp,email
110,tcp,email
993,tcp,email
993,tcp,email
993,tcp,email
143,tcp,email
68,udp,sv_P2
3389,tcp,sv_P5
68,udp,sv_P2
31911,17,sv_P9
63558,1,sv_P8
38956,6,sv_P8
26514,6,sv_P10
26386,6,sv_P8
443,tcp,sv_P2
23085,17,sv_P8
443,tcp,sv_P2
34102,17,sv_P9
110,tcp,email
26,tcp,sv_P6
23,tcp,sv_P1
34773,6,sv_P9
62333,17,sv_P8
28,tcp,sv_P7
11886,17,sv_P10
68,udp,sv_P2
23058,17,sv_P8
28,tcp,sv_P7
28329,1,sv_P10
56990,17,sv_P8
5043,1,sv_P9
31,udp,SV_P3
59740,1,sv_P9
25653,1,sv_P9
14269,6,sv_P8
25510,1,sv_P10
23,tcp,sv_P1
3389,tcp,sv_P5
26549,1,sv_P10
25494,6,sv_P9
31727,1,sv_P9
26,tcp,sv_P6
16023,6,sv_P8
23,tcp,sv_P1
47467,17,sv_P8
3389,tcp,sv_P5
42695,17,sv_P10
993,tcp,email
52759,6,sv_P8
28,tcp,sv_P7
23696,6,sv_P8
25,tcp,sv_P1
25295,17,sv_P10
31,udp,SV_P3
12352,1,sv_P10
23,tcp,sv_P1
25,tcp,sv_P1
30989,6,sv_P8
68,udp,sv_P2
3389,tcp,sv_P5
42348,6,sv_P10
3819,6,sv_P9
53982,1,sv_P8
31,udp,SV_P3
993,tcp,email
26,tcp,sv_P6
28,tcp,sv_P7
47275,17,sv_P8
8245,6,sv_P9
68,udp,sv_P2
25695,6,sv_P9
17237,1,sv_P10
52267,1,sv_P10
28,tcp,sv_P7
52813,17,sv_P8
26,tcp,sv_P6
47726,17,sv_P9
25,tcp,sv_P1
8601,1,sv_P8
22,tcp,sv_P4
65295,1,sv_P8
3389,tcp,sv_P5
23,tcp,sv_P1
23,tcp,sv_P1
62390,6,sv_P10
28,tcp,sv_P7
25,tcp,sv_P1
51348,6,sv_P10
31129,1,sv_P9
31,udp,SV_P3
31,udp,SV_P3
16015,6,sv_P9
22,tcp,sv_P4
55340,17,sv_P9
37864,1,sv_P10
11613,1,sv_P8
40954,17,sv_P9
383,17,sv_P8
23086,6,sv_P10
0,icmp,sv_P5
110,tcp,email
22,tcp,sv_P4
31,udp,SV_P3
110,tcp,email
3389,tcp,sv_P5
21375,17,sv_P10
0,icmp,sv_P5
26,tcp,sv_P6
22,tcp,sv_P4
3389,tcp,sv_P5
16139,1,sv_P8
45316,6,sv_P10
143,tcp,email
22049,17,sv_P9
7036,17,sv_P8
56587,1,sv_P10
0,icmp,sv_P5
42826,1,sv_P10
17531,1,sv_P8
68,udp,sv_P2
32433,17,sv_P8
31,udp,SV_P3
993,tcp,email
23,tcp,sv_P1
56497,17,sv_P9
31,udp,SV_P3
2225,17,sv_P9
62150,6,sv_P8
22,tcp,sv_P4
61011,6,sv_P10
22,tcp,sv_P4
25,tcp,sv_P1
3389,tcp,sv_P5
6378,17,sv_P9
24416,17,sv_P9
19856,17,sv_P9
28,tcp,sv_P7
0,icmp,sv_P5
41233,6,sv_P8
443,tcp,sv_P2
13737,17,sv_P9
22,tcp,sv_P4
45735,17,sv_P10
26,tcp,sv_P6
8803,1,sv_P8
65365,1,sv_P9
27391,1,sv_P10
38872,1,sv_P10
9900,1,sv_P9
48784,1,sv_P9
68,udp,sv_P2
23,tcp,sv_P1
31,udp,SV_P3
18026,1,sv_P9
38837,17,sv_P10
2106,17,sv_P10
5756,6,sv_P10
3389,tcp,sv_P5
3389,tcp,sv_P5
39574,17,sv_P10
42421,6,sv_P8
23,tcp,sv_P1
24179,6,sv_P8
51190,1,sv_P8
21439,17,sv_P10
0,icmp,sv_P5
0,icmp,sv_P5
64132,6,sv_P8
26,tcp,sv_P6
25,tcp,sv_P1
51943,6,sv_P10
28,tcp,sv_P7
25084,6,sv_P8
51685,6,sv_P10
33896,17,sv_P9
0,icmp,sv_P5
0,icmp,sv_P5
65273,17,sv_P9
0,icmp,sv_P5
28,tcp,sv_P7
68,udp,sv_P2
34087,6,sv_P10
110,tcp,email
443,tcp,sv_P2
31,udp,SV_P3
110,tcp,email
143,tcp,email
28,tcp,sv_P7
9454,6,sv_P10
6807,1,sv_P9
993,tcp,email
12965,6,sv_P8
443,tcp,sv_P2
51802,6,sv_P10
25,tcp,sv_P1
47305,6,sv_P9
110,tcp,email
110,tcp,email
41495,1,sv_P8
20891,6,sv_P8
47335,1,sv_P9
110,tcp,email
3389,tcp,sv_P5
58739,17,sv_P10
143,tcp,email
28248,6,sv_P8
31,udp,SV_P3
47588,17,sv_P8
23361,1,sv_P10
0,icmp,sv_P5
443,tcp,sv_P2
26,tcp,sv_P6
1092,6,sv_P10
443,tcp,sv_P2
0,icmp,sv_P5
3471,1,sv_P8
15115,17,sv_P10
993,tcp,email
16688,6,sv_P8
41317,6,sv_P8
28,tcp,sv_P7
3389,tcp,sv_P5
31,udp,SV_P3
44215,17,sv_P8
62657,6,sv_P10
110,tcp,email
25,tcp,sv_P1
55106,6,sv_P10
25,tcp,sv_P1
3389,tcp,sv_P5
143,tcp,email
14102,17,sv_P8
11978,6,sv_P9
0,icmp,sv_P5
23,tcp,sv_P1
29776,6,sv_P10
3369,6,sv_P9
18825,6,sv_P8
50172,1,sv_P9
45444,6,sv_P9
443,tcp,sv_P2
28,tcp,sv_P7
37194,17,sv_P9
28,tcp,sv_P7
26,tcp,sv_P6
3389,tcp,sv_P5
22,tcp,sv_P4
17543,1,sv_P10
22,tcp,sv_P4
22,tcp,sv_P4
5998,1,sv_P10
25,tcp,sv_P1
25953,1,sv_P10
143,tcp,email
143,tcp,email
3389,tcp,sv_P5
37984,6,sv_P10
57026,6,sv_P9
57865,17,sv_P10
18693,17,sv_P9
22,tcp,sv_P4
24868,1,sv_P8
40854,1,sv_P9
31,udp,SV_P3
50408,17,sv_P10
26,tcp,sv_P6
34823,6,sv_P8
22,tcp,sv_P4
110,tcp,email
33761,17,sv_P10
53596,6,sv_P10
25,tcp,sv_P1
42952,1,sv_P9
50431,6,sv_P8
51404,17,sv_P10
31,udp,SV_P3
59584,1,sv_P9
61432,6,sv_P8
28,tcp,sv_P7
22,tcp,sv_P4
22143,1,sv_P8
24110,6,sv_P10
48923,17,sv_P10
56831,1,sv_P10
686,17,sv_P9
25073,17,sv_P10
49250,17,sv_P8
33574,6,sv_P8
3389,tcp,sv_P5
993,tcp,email
22,tcp,sv_P4
60414,17,sv_P8
22,tcp,sv_P4
2277,1,sv_P8
6019,17,sv_P9
19906,6,sv_P10
110,tcp,email
3389,tcp,sv_P5
993,tcp,email
17731,17,sv_P10
11050,17,sv_P9
31501,17,sv_P9
43130,1,sv_P9
28321,1,sv_P10
64739,6,sv_P8
23,tcp,sv_P1
22865,1,sv_P10
48404,6,sv_P10
16092,6,sv_P10
57265,6,sv_P8
42724,6,sv_P10
68,udp,sv_P2
5756,1,sv_P10
36360,6,sv_P9
23,tcp,sv_P1
143,tcp,email
58921,17,sv_P8
21756,1,sv_P10
0,icmp,sv_P5
36772,6,sv_P9
59594,6,sv_P10
23,tcp,sv_P1
39738,1,sv_P9
68,udp,sv_P2
443,tcp,sv_P2
26,tcp,sv_P6
37880,17,sv_P10
0,icmp,sv_P5
31,udp,SV_P3
2821,6,sv_P10
50567,1,sv_P10
68,udp,sv_P2
11882,1,sv_P9
64824,1,sv_P9
26,tcp,sv_P6
110,tcp,email
45318,1,sv_P8
443,tcp,sv_P2
68,udp,sv_P2
28623,1,sv_P8
29887,6,sv_P9
32326,6,sv_P8
23423,17,sv_P8
25,tcp,sv_P1
7100,6,sv_P9
62150,17,sv_P10
68,udp,sv_P2
443,tcp,sv_P2
23,tcp,sv_P1
143,tcp,email
11204,6,sv_P10
61280,17,sv_P9
20553,17,sv_P9
23,tcp,sv_P1
6523,6,sv_P8
53457,1,sv_P8
443,tcp,sv_P2
110,tcp,email
48601,6,sv_P8
49546,6,sv_P9
32041,17,sv_P9
26,tcp,sv_P6
31,udp,SV_P3
0,icmp,sv_P5
4629,6,sv_P9
54310,6,sv_P8
26,tcp,sv_P6
65405,17,sv_P8
0,icmp,sv_P5
41011,1,sv_P8
0,icmp,sv_P5
34408,1,sv_P8
10194,6,sv_P10
59507,1,sv_P9
46042,17,sv_P9
26,tcp,sv_P6
58500,1,sv_P9
443,tcp,sv_P2
61111,17,sv_P9
25,tcp,sv_P1
17982,6,sv_P9
18381,17,sv_P9
143,tcp,email
28,tcp,sv_P7
143,tcp,email
54941,17,sv_P10
28,tcp,sv_P7
22,tcp,sv_P4
8055,17,sv_P9
143,tcp,email
26,tcp,sv_P6
38567,1,sv_P10
993,tcp,email
44537,1,sv_P8
47638,1,sv_P8
56977,1,sv_P8
38099,17,sv_P8
25,tcp,sv_P1
110,tcp,email
49689,1,sv_P8
11404,6,sv_P9
993,tcp,email
143,tcp,email
110,tcp,email
23,tcp,sv_P1
23,tcp,sv_P1
24314,17,sv_P10
0,icmp,sv_P5
33411,6,sv_P8
54287,6,sv_P8
45975,6,sv_P9
5898,6,sv_P8
28,tcp,sv_P7
43891,1,sv_P9
68,udp,sv_P2
40864,17,sv_P8
6013,17,sv_P9
23,tcp,sv_P1
11650,17,sv_P9
25,tcp,sv_P1
26,tcp,sv_P6
65508,17,sv_P10
53260,1,sv_P9
34577,17,sv_P9
31,udp,SV_P3
1031,17,sv_P10
26281,6,sv_P8
5733,6,sv_P10
68,udp,sv_P2
31,udp,SV_P3
25,tcp,sv_P1
32013,1,sv_P9
110,tcp,email
51680,17,sv_P9
993,tcp,email
993,tcp,email
45196,6,sv_P8
28,tcp,sv_P7
443,tcp,sv_P2
36219,1,sv_P9
993,tcp,email
22,tcp,sv_P4
54958,6,sv_P9
993,tcp,email
54165,6,sv_P10
31,udp,SV_P3
68,udp,sv_P2
31,udp,SV_P3
64004,6,sv_P8
45801,6,sv_P9
143,tcp,email
993,tcp,email
68,udp,sv_P2
63796,1,sv_P9
1087,6,sv_P9
0,icmp,sv_P5
64324,6,sv_P10
27779,1,sv_P10
13497,1,sv_P8
28,tcp,sv_P7
41539,6,sv_P10
28,tcp,sv_P7
443,tcp,sv_P2
33922,6,sv_P8
21448,1,sv_P8
40946,17,sv_P10
44701,6,sv_P9
52671,17,sv_P10
3389,tcp,sv_P5
110,tcp,email
68,udp,sv_P2
0,icmp,sv_P5
48934,6,sv_P10
143,tcp,email
43251,17,sv_P9
110,tcp,email
22,tcp,sv_P4
31335,6,sv_P8
53655,1,sv_P10
26846,1,sv_P9
31,udp,SV_P3
110,tcp,email
993,tcp,email
62479,6,sv_P8
68,udp,sv_P2
5743,6,sv_P8
15583,1,sv_P10
63030,1,sv_P8
42847,17,sv_P9
27498,17,sv_P10
31884,6,sv_P9
22,tcp,sv_P4
25,tcp,sv_P1
28,tcp,sv_P7
22,tcp,sv_P4
14794,6,sv_P10
28,tcp,sv_P7
22,tcp,sv_P4
17160,1,sv_P9
17728,17,sv_P9
31,udp,SV_P3
23800,6,sv_P8
53891,17,sv_P9
68,udp,sv_P2
143,tcp,email
3709,1,sv_P8
28,tcp,sv_P7
37079,1,sv_P8
993,tcp,email
60033,17,sv_P9
443,tcp,sv_P2
37766,17,sv_P10
19130,6,sv_P10
8344,17,sv_P10
143,tcp,email
28670,17,sv_P9
143,tcp,email
68,udp,sv_P2
0,icmp,sv_P5
324,17,sv_P9
5505,6,sv_P9
26,tcp,sv_P6
443,tcp,sv_P2
23,tcp,sv_P1
49358,6,sv_P10
110,tcp,email
26265,6,sv_P8
44614,17,sv_P9
26,tcp,sv_P6
29728,17,sv_P8
46226,6,sv_P8
25,tcp,sv_P1
0,icmp,sv_P5
42848,1,sv_P8
0,icmp,sv_P5
41659,6,sv_P9
13714,1,sv_P9
443,tcp,sv_P2
33990,17,sv_P8
0,icmp,sv_P5
22,tcp,sv_P4
993,tcp,email
27636,1,sv_P8
28,tcp,sv_P7
51284,6,sv_P10
12634,17,sv_P8
19209,1,sv_P9
25335,6,sv_P9
26,tcp,sv_P6
59473,1,sv_P10
993,tcp,email
3732,17,sv_P10
42337,17,sv_P8
20876,1,sv_P9
3389,tcp,sv_P5
34347,6,sv_P10
13574,6,sv_P9
42811,6,sv_P8
22032,17,sv_P9
15071,1,sv_P10
143,tcp,email
443,tcp,sv_P2
31,udp,SV_P3
34972,6,sv_P8
37982,6,sv_P10
28,tcp,sv_P7
32244,1,sv_P8
993,tcp,email
37701,1,sv_P9
26,tcp,sv_P6
36061,17,sv_P10
36163,1,sv_P9
62996,17,sv_P8
31,udp,SV_P3
143,tcp,email
993,tcp,email
23,tcp,sv_P1
38690,6,sv_P9
22,tcp,sv_P4
25,tcp,sv_P1
42731,1,sv_P8
443,tcp,sv_P2
31,udp,SV_P3
59906,1,sv_P9
57861,6,sv_P9
28,tcp,sv_P7
110,tcp,email
143,tcp,email
37148,6,sv_P9
4510,1,sv_P9
25,tcp,sv_P1
34469,1,sv_P9
110,tcp,email
25,tcp,sv_P1
35134,1,sv_P10
993,tcp,email
63070,1,sv_P10
68,udp,sv_P2
143,tcp,email
59387,6,sv_P9
443,tcp,sv_P2
0,icmp,sv_P5
993,tcp,email
54935,17,sv_P9
29360,6,sv_P9
31525,17,sv_P9
19245,17,sv_P8
19851,6,sv_P9
40647,1,sv_P8
443,tcp,sv_P2
22,tcp,sv_P4
49578,1,sv_P10
23138,6,sv_P9
51447,17,sv_P9
35009,17,sv_P10
3474,1,sv_P8
68,udp,sv_P2
30820,1,sv_P9
22,tcp,sv_P4
21148,6,sv_P9
64118,1,sv_P10
56033,1,sv_P9
40555,1,sv_P10
443,tcp,sv_P2
25425,17,sv_P9
63533,1,sv_P9
25,tcp,sv_P1
28,tcp,sv_P7
2910,6,sv_P9
31,udp,SV_P3
110,tcp,email
42414,6,sv_P8
59999,17,sv_P8
14643,6,sv_P8
32386,1,sv_P9
48906,17,sv_P9
993,tcp,email
22,tcp,sv_P4
61570,17,sv_P9
993,tcp,email
993,tcp,email
3389,tcp,sv_P5
0,icmp,sv_P5
59627,1,sv_P8
31388,6,sv_P8
3389,tcp,sv_P5
56318,17,sv_P9
110,tcp,email
58928,1,sv_P8
0,icmp,sv_P5
993,tcp,email
48687,6,sv_P8
44160,6,sv_P10
31,udp,SV_P3
24629,6,sv_P10
3389,tcp,sv_P5
3607,1,sv_P9
35222,6,sv_P9
10264,6,sv_P8
54943,6,sv_P10
0,icmp,sv_P5
33556,1,sv_P8
25204,1,sv_P8
42836,17,sv_P9
59193,6,sv_P10
443,tcp,sv_P2
443,tcp,sv_P2
3389,tcp,sv_P5
34140,1,sv_P9
110,tcp,email
49578,6,sv_P9
26,tcp,sv_P6
23,tcp,sv_P1
0,icmp,sv_P5
48123,17,sv_P9
28,tcp,sv_P7
23,tcp,sv_P1
3389,tcp,sv_P5
5119,6,sv_P8
45960,6,sv_P8
443,tcp,sv_P2
34770,6,sv_P8
2086,1,sv_P9
3389,tcp,sv_P5
68,udp,sv_P2
25,tcp,sv_P1
19980,1,sv_P8
25,tcp,sv_P1
47409,1,sv_P8
68,udp,sv_P2
443,tcp,sv_P2
25,tcp,sv_P1
3389,tcp,sv_P5
110,tcp,email
993,tcp,email
29390,1,sv_P10
39437,6,sv_P10
443,tcp,sv_P2
25734,17,sv_P8
993,tcp,email
23,tcp,sv_P1
5333,17,sv_P8
40680,6,sv_P10
28,tcp,sv_P7
143,tcp,email
27690,17,sv_P9
27123,1,sv_P8
